Wavelength (nm), QE (%)
3.560000000000000000e+02,2.868282653496475731e+01
3.570000000000000000e+02,2.922444165458400178e+01
3.580000000000000000e+02,3.040545943191228062e+01
3.590000000000000000e+02,3.140507883945073786e+01
3.600000000000000000e+02,3.192677266949744208e+01
3.610000000000000000e+02,3.310769528328722799e+01
3.620000000000000000e+02,3.406744705650143601e+01
3.630000000000000000e+02,3.471058841814928542e+01
3.640000000000000000e+02,3.588245218224675881e+01
3.650000000000000000e+02,3.677276325411259705e+01
3.660000000000000000e+02,3.820997332269575963e+01
3.670000000000000000e+02,3.914398818119638435e+01
3.680000000000000000e+02,4.074152785437289737e+01
3.690000000000000000e+02,4.213600874933471374e+01
3.700000000000000000e+02,4.262160991097741913e+01
3.710000000000000000e+02,4.457205170981801245e+01
3.720000000000000000e+02,4.523168985114324414e+01
3.730000000000000000e+02,4.666379882791711964e+01
3.740000000000000000e+02,4.836954912049770172e+01
3.750000000000000000e+02,4.976403010014644224e+01
3.760000000000000000e+02,5.028444333510890374e+01
3.770000000000000000e+02,5.166796078023779160e+01
3.780000000000000000e+02,5.343836431398098341e+01
3.790000000000000000e+02,5.412816331592907915e+01
3.800000000000000000e+02,5.564514149045930225e+01
3.810000000000000000e+02,5.697531842570896998e+01
3.820000000000000000e+02,5.745661333150378169e+01
3.830000000000000000e+02,5.876060524873155089e+01
3.840000000000000000e+02,5.957229721001773015e+01
3.850000000000000000e+02,6.049348072397365428e+01
3.860000000000000000e+02,6.169192050920059955e+01
3.870000000000000000e+02,6.226615549399120653e+01
3.880000000000000000e+02,6.342386799049338464e+01
3.890000000000000000e+02,6.399810293456570776e+01
3.900000000000000000e+02,6.513830532561279085e+01
3.910000000000000000e+02,6.567992041253019408e+01
3.920000000000000000e+02,6.673768309983292113e+01
3.930000000000000000e+02,6.730104316604645476e+01
3.940000000000000000e+02,6.840360762789521232e+01
3.950000000000000000e+02,6.897784261268584771e+01
3.960000000000000000e+02,6.982082704155567399e+01
3.970000000000000000e+02,7.061384097016140515e+01
3.980000000000000000e+02,7.140045972772166749e+01
3.990000000000000000e+02,7.170758818233730381e+01
4.000000000000000000e+02,7.289011956532810643e+01
4.010000000000000000e+02,7.329157018968436432e+01
