Wavelength (nm), T (%)
739.00,72.85
740.00,72.78
741.00,72.72
742.00,72.66
743.00,72.61
744.00,72.56
745.00,72.51
746.00,72.46
747.00,72.40
748.00,72.34
749.00,72.28
750.00,72.22
751.00,72.17
752.00,72.12
753.00,72.07
754.00,72.03
755.00,71.98
756.00,71.94
757.00,71.91
758.00,71.87
759.00,71.83
760.00,71.78
761.00,71.73
762.00,71.69
763.00,71.64
764.00,71.60
765.00,71.56
766.00,71.52
767.00,71.48
768.00,71.44
769.00,71.39
770.00,71.34
771.00,71.29
772.00,71.24
773.00,71.21
774.00,71.18
775.00,71.15
776.00,71.12
777.00,71.08
778.00,71.03
779.00,70.99
780.00,70.94
781.00,70.90
782.00,70.87
783.00,70.84
784.00,70.80
785.00,70.77
786.00,70.73
787.00,70.69
788.00,70.65
789.00,70.61
790.00,70.57
791.00,70.53
792.00,70.49
793.00,70.45
794.00,70.42
795.00,70.43
796.00,70.43
797.00,70.44
798.00,70.44
799.00,70.34
800.00,70.22
801.00,70.10
802.00,70.02
803.00,70.01
804.00,70.01
805.00,70.00
806.00,69.97
807.00,69.92
808.00,69.86
809.00,69.81
810.00,69.76
811.00,69.73
812.00,69.70
813.00,69.67
814.00,69.64
815.00,69.60
816.00,69.55
817.00,69.49
818.00,69.44
819.00,69.40
820.00,69.37
821.00,69.34
822.00,69.31
823.00,69.28
824.00,69.23
825.00,69.18
826.00,69.13
827.00,69.07
828.00,69.04
829.00,69.01
830.00,68.98
831.00,68.95
832.00,68.91
833.00,68.86
834.00,68.81
835.00,68.76
836.00,68.71
837.00,68.68
838.00,68.65
839.00,68.62
840.00,68.59
841.00,68.54
842.00,68.49
843.00,68.44
844.00,68.39
845.00,68.35
846.00,68.31
847.00,68.28
848.00,68.25
849.00,68.21
850.00,68.17
851.00,68.12
852.00,68.08
853.00,68.03
854.00,67.99
855.00,67.96
856.00,67.93
857.00,67.89
858.00,67.85
859.00,67.81
860.00,67.77
861.00,67.73
862.00,67.69
863.00,67.65
864.00,67.61
865.00,67.57
866.00,67.53
867.00,67.48
868.00,67.44
869.00,67.39
870.00,67.35
871.00,67.31
872.00,67.27
873.00,67.24
874.00,67.20
875.00,67.17
876.00,67.13
877.00,67.09
878.00,67.04
879.00,67.00
880.00,66.96
881.00,66.92
882.00,66.88
883.00,66.84
884.00,66.80
885.00,66.76
886.00,66.73
887.00,66.69
888.00,66.65
889.00,66.61
890.00,66.56
891.00,66.52
892.00,66.47
893.00,66.44
894.00,66.42
895.00,66.40
896.00,66.37
897.00,66.36
898.00,66.38
899.00,66.39
900.00,66.41
901.00,66.42
902.00,66.32
903.00,66.21
904.00,66.09
905.00,65.98
906.00,65.91
907.00,65.86
908.00,65.82
909.00,65.77
910.00,65.72
911.00,65.68
912.00,65.64
913.00,65.60
914.00,65.56
915.00,65.52
916.00,65.47
917.00,65.43
918.00,65.38
919.00,65.33
920.00,65.29
921.00,65.25
922.00,65.20
923.00,65.16
924.00,65.12
925.00,65.09
926.00,65.05
927.00,65.01
928.00,64.97
929.00,64.93
930.00,64.89
931.00,64.85
932.00,64.81
933.00,64.77
934.00,64.73
935.00,64.69
936.00,64.65
937.00,64.62
938.00,64.58
939.00,64.55
940.00,64.51
941.00,64.47
942.00,64.43
943.00,64.38
944.00,64.34
945.00,64.30
946.00,64.28
947.00,64.25
948.00,64.22
949.00,64.19
950.00,64.16
951.00,64.12
952.00,64.08
953.00,64.05
954.00,64.02
955.00,63.99
956.00,63.97
957.00,63.94
958.00,63.92
959.00,63.91
960.00,63.90
961.00,63.89
962.00,63.87
963.00,63.84
964.00,63.81
965.00,63.78
966.00,63.75
967.00,63.72
968.00,63.69
969.00,63.66
970.00,63.63
971.00,63.61
972.00,63.60
973.00,63.58
974.00,63.57
975.00,63.56
976.00,63.54
977.00,63.52
978.00,63.50
979.00,63.49
980.00,63.46
981.00,63.44
982.00,63.42
983.00,63.40
984.00,63.38
985.00,63.35
986.00,63.33
987.00,63.31
988.00,63.29
989.00,63.26
990.00,63.24
991.00,63.22
992.00,63.20
993.00,63.20
994.00,63.20
995.00,63.19
996.00,63.19
997.00,63.26
998.00,63.36
999.00,63.47
